Zone de référence;2011;2013;2015;2017;2019;2021
Allemagne;25,3;25,5;25,7;25,8;26,3;28,5
Australie;20,9;21,8;23,6;22,4;26,2;22,9
Autriche;24,4;25,4;25,5;25,4;25,6;29,4
Belgique;25,9;26,1;26,8;26,1;25,8;26,7
Canada;20,9;21,1;22,5;23,2;24,0;25,4
Chili;12,0;12,3;13,3;13,9;14,4;20,9
Colombie;;; ; ;15,5;17,4
Corée;9,7;10,7;11,6;12,0;14,5;18,7
Costa Rica;;; ; ;12,6;13,0
Danemark;26,4;26,7;26,4;25,2;25,0;24,4
Espagne;24,3;23,9;22,9;22,1;23,0;26,6
Estonie;13,9;13,5;14,7;14,4;15,0;16,1
États-Unis;28,9;28,6;28,9;29,1;29,2;33,2
Finlande;22,8;24,6;25,6;24,7;24,5;25,6
France;30,6;31,9;32,0;31,0;30,1;32,0
Grèce;23,3;22,8;22,6;21,5;20,5;22,5
Hongrie;20,5;19,4;17,7;17,3;15,6;16,5
Irlande;23,8;22,3;15,2;14,3;13,3;13,7
Islande;20,3;19,8;19,3;19,7;21,1;24,5
Israël;15,8;16,3;16,3;17,1;17,3;18,6
Italie;23,8;24,9;24,9;24,3;24,3;26,5
Japon;24,3;24,0;23,5;23,5;24,4;26,9
Lettonie;15,5;14,1;14,0;14,0;14,9;19,1
Lituanie;;; ; ;15,5;17,7
Luxembourg;16,4;16,6;16,8;17,2;17,8;17,7
Mexique;7,0;7,4;7,4;7,3;7,8;9,4
Norvège;19,1;19,4;21,8;22,2;22,4;20,6
Nouvelle-Zélande;19,4;18,8;18,5;18,2;22,1;22,2
Pays-Bas;25,9;25,9;26,1;25,4;24,9;27,0
Pologne;16,6;17,7;16,9;17,1;17,6;18,4
Portugal;23,8;24,0;23,3;22,3;21,7;24,7
République slovaque;16,8;17,2;16,7;16,9;16,9;18,4
Royaume-Uni;26,6;25,9;25,0;24,3;24,1;26,0
Slovénie;21,4;21,8;20,8;19,7;19,9;22,5
Suède;23,4;25,0;24,5;24,3;23,6;23,9
Suisse;22,2;23,4;24,1;24,9;25,1;26,1
Tchéquie;18,6;18,7;17,9;17,3;17,8;20,8
Türkiye;10,9;10,8;11,2;11,8;12,4;11,1
OCDE;20,8;21,0;20,9;20,6;21,0;22,6
